stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
IDFM:22366,,Place Monge,,2.3521548685787708,48.842666385642886,1.0,,0,IDFM:71133,Europe/Paris,,2,
IDFM:22365,,Place d'Italie,,2.355303769754901,48.83154024475565,1.0,,0,IDFM:71033,Europe/Paris,,2,
IDFM:463216,,Les Gobelins,,2.3525311653622043,48.83589170669027,1.0,,0,IDFM:71076,Europe/Paris,,2,
IDFM:463213,,Malakoff - Plateau de Vanves,,2.2984111759006174,48.82214529059278,2.0,,0,IDFM:73766,Europe/Paris,,2,
IDFM:463251,,Pierre et Marie Curie,,2.377362970985953,48.81587757774557,2.0,,0,IDFM:70537,Europe/Paris,,2,
IDFM:41630,,Docteur Laurent,,2.357167634979638,48.82511076297198,1.0,,0,IDFM:71001,Europe/Paris,,1,
IDFM:39769,,Hôpital Saint-Vincent de Paul,,2.3352198045501606,48.837195264946686,1.0,,0,IDFM:71074,Europe/Paris,,1,
IDFM:463242,,Mouton-Duvernet,,2.329887640408421,48.83133758557153,1.0,,0,IDFM:73653,Europe/Paris,,2,
IDFM:463241,,Montgallet,,2.3904000136353645,48.84400507570895,1.0,,0,IDFM:71631,Europe/Paris,,2,
IDFM:463235,,Porte d'Italie,,2.3595297331071694,48.81910659655869,1.0,,0,IDFM:70596,Europe/Paris,,2,
IDFM:463237,,Maubert - Mutualité,,2.3482804131694897,48.85019546606951,1.0,,0,IDFM:71190,Europe/Paris,,2,
IDFM:482421,,Gare de Vanves - Malakoff,,2.2924680958892774,48.81802705950648,2.0,,0,IDFM:70584,Europe/Paris,,1,
IDFM:463265,,Sully - Morland,,2.361853169697248,48.85127140839376,1.0,,0,IDFM:71201,Europe/Paris,,2,
IDFM:463267,,Tolbiac,,2.357018567738162,48.82615323734341,1.0,,0,IDFM:71001,Europe/Paris,,2,
IDFM:8444,,Jacob,,2.3310993120897128,48.855708131724334,1.0,,0,IDFM:71225,Europe/Paris,,1,
IDFM:8445,,Hôpital des Enfants Malades / Duroc,,2.315586706007505,48.846572857152815,1.0,,0,IDFM:71159,Europe/Paris,,1,
IDFM:8446,,Abbé Groult,,2.2962067048195864,48.84072245717756,1.0,,0,IDFM:71103,Europe/Paris,,1,
IDFM:8447,,Monge,,2.3521838940098694,48.84361986659096,1.0,,0,IDFM:71133,Europe/Paris,,2,
IDFM:463260,,Porte de Vanves,,2.305332386657473,48.82761346400429,1.0,,0,IDFM:71006,Europe/Paris,,2,
IDFM:422947,,Porte d'Orléans - Ernest Reyer,,2.324540144260681,48.82128843116212,1.0,,0,IDFM:70657,Europe/Paris,,1,
IDFM:8431,,Birague,,2.36524848750888,48.85390658690624,1.0,,0,IDFM:71214,Europe/Paris,,1,
IDFM:8432,,Les Ecoles,,2.342146497881033,48.84970772154837,1.0,,0,IDFM:480747,Europe/Paris,,1,
IDFM:8433,,Luxembourg,,2.3402979077943646,48.847179338138176,1.0,,0,IDFM:71161,Europe/Paris,,1,
IDFM:463289,,Quai de la Rapée,,2.365884650750405,48.846427325479766,1.0,,0,IDFM:71637,Europe/Paris,,2,
IDFM:463288,,Quai de la Gare,,2.372766248948172,48.8370742706096,1.0,,0,IDFM:71597,Europe/Paris,,2,
