route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_Bala03Lour01-7,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_CLac02CLac07-7,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_Bala05Pref01-14,Balard,,0,,,2,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_Pref01Bala09-8,Balard,,0,,,2,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526602,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_Bala08Bala03-7,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526604,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526606,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526608,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141263,Porte de Choisy,,0,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-2048535819_CLac12CLac16-2,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526610,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_CLac15Bala05-9,Balard,,0,,,2,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526612,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526614,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526616,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_CLac12CLac16-9,Balard,,0,,,2,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526618,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526620,Vaillant-Couturier - Lénine,,1,,,1,0
IDFM:C01378,IDFM:10000,IDFM:RATP:232224-C01378-COU_RATP_08SAAMTVISTU_2026_-871282879_Pref02Bala02-20,Balard,,0,,,2,0
IDFM:C02317,IDFM:10000,IDFM:KOVM-T9:230766-C02317-1141264,Porte de Choisy,,0,,,1,0
IDFM:C02243,IDFM:10000,IDFM:RATP:229969-C02243-COU_RATP_025SAM01Samedi11VITR2025_89_49526630,Vaillant-Couturier - Lénine,,1,,,1,0
