route_id,mode_transport,route_short_name,route_type
IDFM:C01059,Bus,2424,3
IDFM:C01063,Bus,7717,3
IDFM:C01253,Bus,270,3
IDFM:C02035,Bus,2401,3
IDFM:C01188,Bus,166,3
IDFM:C02036,Bus,2402,3
IDFM:C02069,Bus,2403,3
IDFM:C02154,Bus,2426,3
IDFM:C02365,Bus,2405,3
IDFM:C00143,Bus,EX01,3
IDFM:C01166,Bus,140,3
IDFM:C00144,Bus,8,3
IDFM:C00145,Bus,9,3
IDFM:C02831,Bus,9513,3
IDFM:C00149,Bus,10,3
IDFM:C00150,Bus,15,3
IDFM:C00154,Bus,21,3
IDFM:C00156,Bus,R4,3
IDFM:C01163,Bus,137,3
IDFM:C00157,Bus,R5,3
IDFM:C00158,Bus,R2N,3
IDFM:C00159,Bus,R2S,3
IDFM:C00160,Bus,R1,3
IDFM:C00161,Bus,R3N,3
IDFM:C00162,Bus,R3S,3
IDFM:C02491,Bus,Soir,3
IDFM:C02503,Bus,TàD 78,3
IDFM:C02615,Bus,11,3
IDFM:C00341,Bus,3,3
IDFM:C00344,Bus,7,3
IDFM:C00350,Bus,14,3
IDFM:C01117,Bus,85,3
IDFM:C01109,Bus,74,3
IDFM:C01336,Bus,MONTBUS,3
IDFM:C01092,Bus,54,3
IDFM:C01357,Bus,CLAM,3
IDFM:C01366,Bus,AMIBUS,3
IDFM:C01081,Bus,31,3
IDFM:C01368,Bus,FONT,3
IDFM:C01370,Bus,HIRO,3
IDFM:C00403,Bus,5110,3
IDFM:C01360,Bus,CHOISYBUS,3
IDFM:C02538,Bus,311,3
IDFM:C00418,Bus,5101,3
IDFM:C00544,Bus,5141,3
IDFM:C01521,Bus,5134,3
IDFM:C01256,Bus,275,3
IDFM:C01523,Bus,5132,3
IDFM:C01524,Bus,5120,3
IDFM:C01526,Bus,5122,3
IDFM:C02437,Bus,209,3
IDFM:C01527,Bus,5104,3
IDFM:C02137,Bus,4,3
IDFM:C02136,Bus,7,3
IDFM:C02133,Bus,9,3
IDFM:C02129,Bus,3,3
IDFM:C02092,Bus,643,3
IDFM:C01362,Bus,V5,3
IDFM:C01361,Bus,V2,3
IDFM:C01260,Bus,281,3
IDFM:C01528,Bus,5105,3
IDFM:C02062,Bus,EX 100,3
IDFM:C01350,Bus,565,3
IDFM:C00622,Bus,2250,3
IDFM:C01717,Bus,8,3
IDFM:C01345,Bus,559,3
IDFM:C01342,Bus,TUB,3
IDFM:C01589,Bus,623,3
IDFM:C01530,Bus,5107,3
IDFM:C01338,Bus,EOLIEN,3
IDFM:C01581,Bus,613,3
IDFM:C01531,Bus,5106,3
IDFM:C01333,Bus,NEY-FLA,3
IDFM:C01577,Bus,605,3
IDFM:C01532,Bus,5143,3
IDFM:C01537,Bus,5133,3
IDFM:C01575,Bus,603,3
IDFM:C01538,Bus,5145,3
IDFM:C01332,Bus,BATIGNO,3
IDFM:C01539,Bus,5103,3
IDFM:C01574,Bus,602,3
IDFM:C01329,Bus,CHARONNE,3
IDFM:C01427,Bus,5,3
IDFM:C01323,Bus,421,3
IDFM:C01090,Bus,52,3
